project,direct_dependencies_bloated_count,direct_dependencies_bloated_loc,direct_dependency_files_bloated_count,direct_dependency_files_bloated_loc,direct_dependency_functions_bloated_count,direct_dependency_functions_bloated_loc,direct_dependencies_used_count,direct_dependencies_used_loc,direct_dependency_files_used_count,direct_dependency_files_used_loc,direct_dependency_functions_used_count,direct_dependency_functions_used_loc,transitive_dependencies_bloated_count,transitive_dependencies_bloated_loc,transitive_dependency_files_bloated_count,transitive_dependency_files_bloated_loc,transitive_dependency_functions_bloated_count,transitive_dependency_functions_bloated_loc,transitive_dependencies_used_count,transitive_dependencies_used_loc,transitive_dependency_files_used_count,transitive_dependency_files_used_loc,transitive_dependency_functions_used_count,transitive_dependency_functions_used_loc
mechanicalsoup/mechanicalsoup,1,7110,46,11337,842,12676,2,12381,10,8154,29,925,5,21248,66,31261,885,21949,1,11176,2,1163,3,77
openidc/pyoidc,1,846,280,69297,4752,52933,6,94307,64,25856,379,6952,10,59011,390,107837,5462,80324,4,70600,30,21774,153,2488
freakboy3742/pyxero,3,27448,121,28685,1898,20971,2,6786,14,5549,90,2315,5,24845,144,55241,2257,40190,3,34415,13,4019,43,839
python-smpplib/python-smpplib,0,0,0,0,59,359,1,998,1,998,2,4,0,0,0,0,0,0,0,0,0,0,0,0
autokey/autokey,0,0,70,19044,835,8617,3,27797,12,8753,109,2102,0,0,0,0,59,351,1,998,1,998,2,4
viniciuschiele/flask-apscheduler,0,0,71,17249,945,14510,3,21007,7,3758,37,1035,9,32594,195,81653,4163,55438,3,51406,3,2347,5,30
aksw/quitstore,0,0,127,30863,2269,31560,6,60853,40,29990,311,6071,7,25344,149,55695,4345,54786,6,60086,31,29735,162,3115
danielperna84/ha-philipsjs,0,0,69,15110,1540,14355,2,26550,27,11440,197,2983,3,20126,102,40274,2351,32106,6,30063,31,9915,182,3149
packethost/packet-python,0,0,11,2120,220,3628,1,5435,7,3315,16,296,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
osmcode/pyosmium,0,0,8,737,157,2154,1,5435,10,4698,79,1770,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
teledynelecroy/signalintegrity,2,189006,1351,612049,20607,436410,4,543483,84,120440,556,22696,9,170208,712,200127,9287,134807,3,39730,14,9811,53,1505
goldmann/docker-squash,0,0,55,11064,590,10669,1,14033,13,2969,32,573,3,7833,80,31305,1093,24403,4,32050,21,8578,124,2736
vlachoudis/bcnc,1,593,337,128095,5683,123008,5,184032,39,56530,397,11417,0,0,0,0,0,0,0,0,0,0,0,0
nengo/nengo,0,0,193,79461,3521,84868,1,133985,45,54524,259,13358,0,0,0,0,0,0,0,0,0,0,0,0
nengo/nengo-spa,0,0,174,37835,2348,31737,1,45404,19,7569,53,687,0,0,215,99375,3664,92398,1,133985,23,34610,116,5798
nengo/nengo-gui,0,0,183,41710,2378,32136,1,45404,10,3694,18,258,0,0,218,100745,3709,95103,1,133985,20,33240,72,3123
coddingtonbear/django-measurement,2,1499,885,143140,8580,103322,1,149210,7,7569,24,225,5,510078,871,510078,13828,240494,0,0,0,0,0,0
xtrinch/fcm-django,0,0,869,137299,9202,109652,2,160667,29,23368,81,1119,39,283384,1027,301748,12177,184880,2,23258,7,4894,13,148
devexp-db/distgen,0,0,38,14623,1190,15643,4,22611,9,7988,38,624,1,367,2,367,34,205,0,0,0,0,0,0
relekang/python-semantic-release,2,9878,218,51259,3153,46278,7,66806,44,25425,304,6061,24,248823,822,272392,9080,111599,4,27010,13,3441,44,841
dmtf/python-redfish-library,0,0,14,2499,273,4045,3,6188,9,3689,24,384,5,22269,98,35792,1231,25817,5,17891,7,4368,58,803
justinfx/fileseq,0,0,207,28603,1788,22877,1,40304,18,11701,68,938,0,0,0,0,0,0,0,0,0,0,0,0
redhatqe/widgetastic.core,1,3072,309,130776,7427,74716,3,132892,22,5188,51,930,16,82796,250,82796,3452,57952,0,0,0,0,0,0
redhatqe/wrapanapi,2,390864,2383,671248,28337,465862,22,441642,107,161258,538,14674,97,735637,6023,1106927,40202,669344,39,483834,144,112544,953,20566
dpgaspar/flask-appbuilder,1,9466,175,32315,2562,34417,15,49712,55,26863,290,6152,20,206464,1094,401006,18127,258796,14,286786,80,92244,377,8695
django-money/django-money,0,0,868,144881,9731,118358,3,177551,73,32670,224,3364,2,6933,53,16753,883,12563,2,13300,4,3480,42,1058
cokelaer/bioservices,1,1915,406,179759,9617,177985,11,325288,147,147444,1159,35024,27,220182,1201,411214,18698,297201,8,246413,62,55381,204,7188
cokelaer/spectrum,1,3734,792,403917,13159,321187,3,515945,88,115762,531,23424,11,134904,468,168944,7323,109703,4,41468,13,7428,39,1133
pyabel/pyabel,1,998,683,318162,11229,282819,3,418491,82,101327,548,23926,0,0,0,0,0,0,0,0,0,0,0,0
brobin/django-seed,0,0,1467,436276,9780,113298,3,454076,31,17800,89,1652,4,15547,50,16639,806,10848,1,1737,1,645,3,28
dmoj/judge-server,0,0,308,112332,1550,19710,6,130182,42,17850,116,2445,0,0,80,22868,4203,50602,1,78783,35,55915,623,9252
napalm-automation/napalm,2,22879,783,181504,8623,122857,12,201928,61,43303,388,8074,17,81138,320,103060,4947,68324,3,25484,9,3562,37,758
kz26/pyexcelerate,0,0,21,9193,806,10238,2,15231,5,6038,17,288,1,367,2,367,34,212,0,0,0,0,0,0
paulhancock/aegean,0,0,1137,505878,16989,444294,6,659081,112,153203,746,27702,12,172505,1089,410088,17011,303321,8,350583,77,113000,487,23366
lmfit/lmfit-py,0,0,641,298385,10155,273033,4,400995,78,102610,478,22428,0,0,210,29836,1802,22785,1,40304,15,10468,53,637
neutronx/django-markdownx,0,0,938,155027,9913,126723,3,187461,58,32434,142,2341,3,7346,32,8318,481,4892,1,1737,2,765,6,86
identitypython/pysaml2,1,22006,152,46541,2420,30224,6,40866,28,16331,166,2908,6,57921,142,67934,3013,47804,2,12174,3,2161,4,79
identitypython/djangosaml2,0,0,882,134931,10513,117514,3,209055,124,74124,826,15910,9,86860,328,127450,5883,83087,8,53727,18,13137,95,2028
django-getpaid/django-getpaid,3,12604,107,13764,642,10558,3,2573,4,1413,18,158,4,13435,830,121800,8780,105501,1,149210,88,40845,339,5966
darknessomi/musicbox,0,0,7,580,155,2088,1,5435,11,4855,81,1836,4,15588,63,35258,1088,25430,2,22552,9,2882,38,787
astroua/turbustat,0,0,2015,821386,29400,740856,7,1162215,256,340829,1594,65738,23,381665,1315,512760,22236,467175,12,307925,126,176830,1127,37244
macs3-project/macs,2,4048,326,159233,8141,152301,2,212768,40,57583,629,9384,10,483752,919,510993,14080,363095,1,27538,2,297,4,26
thumbor/thumbor,1,2636,89,24277,1223,21610,2,32044,13,10403,72,1799,2,913,50,15543,1341,17408,7,29579,27,14949,138,3031
ros-infrastructure/bloom,0,0,142,43716,2782,37119,6,55418,20,11702,138,1740,3,13368,185,58191,3393,37860,4,56767,34,11944,174,3240
ros-infrastructure/ros_buildfarm,1,3545,61,6870,989,11394,3,14404,31,11079,105,1465,6,31363,281,98347,5130,65550,3,75983,17,8999,151,2733
cgatoxford/umi-tools,0,0,1189,506719,20917,468436,7,754650,191,247931,1745,55186,11,209441,595,245319,11920,163460,4,42366,8,6488,25,590
odlgroup/odl,0,0,831,311477,11756,288475,4,435320,104,123843,627,25956,0,0,0,0,0,0,0,0,0,0,0,0
tarpas/pytest-testmon,0,0,77,33618,2087,27954,2,43287,21,9669,175,3266,4,6210,33,7033,368,5091,1,1425,1,602,1,2
samreay/chainconsumer,0,0,1272,617731,19117,474497,4,734244,84,116513,557,25271,10,133261,643,218834,12121,210157,5,212867,97,127294,984,32864
poppy-project/pypot,2,6022,744,371974,11892,306055,4,423017,44,57065,207,8057,6,528687,894,528687,14029,253579,0,0,0,0,0,0
kalaspuff/tomodachi,3,1004,115,38086,2511,31415,5,45928,17,8846,86,1302,11,54525,173,68949,3384,50556,6,22758,15,8334,45,878
transifex/transifex-client,0,0,67,17871,1336,21278,4,34134,28,16263,77,1676,4,6315,49,21164,588,14713,2,15701,3,852,21,342
jtpereyda/boofuzz,1,5459,122,48163,3383,48629,8,67045,34,24341,137,2126,6,29203,315,79093,4510,58467,4,64483,24,14593,64,885
op2/pyop2,0,0,322,104512,4467,103550,3,148258,30,43746,109,3957,20,85548,339,111581,9661,113460,3,83665,39,57632,665,9996
theopolis/uefi-firmware-parser,0,0,223,39074,1851,23688,1,40304,2,1230,2,29,1,7245,22,7245,271,3082,0,0,0,0,0,0
geopandas/geopandas,0,0,223,60629,5366,115647,5,192288,121,131659,1158,38749,9,16742,295,117938,4895,106867,3,146751,43,45555,212,7709
tintinweb/scapy-ssl_tls,0,0,168,49868,2603,33051,2,57106,21,7238,109,1607,0,0,243,106492,5127,51600,1,155020,51,48528,321,3720
automl/auto-sklearn,2,69325,1357,554652,24973,590025,11,875936,335,390609,2856,107500,24,207132,456,215242,11664,152500,3,9630,3,1520,15,262
automl/configspace,2,260040,692,380094,10967,295327,2,144898,16,24844,40,1313,0,0,1,6,215,4272,1,5328,2,5322,4,31
streamlink/streamlink,1,958,238,67476,3402,43810,7,75971,33,9453,186,3811,2,5601,110,52057,2042,36160,3,50090,11,3634,42,948
sunpy/sunpy,0,0,376,98457,6229,118957,2,204267,113,105810,778,26693,6,15273,337,121527,6472,140288,9,203540,73,97286,478,21716
opsdroid/opsdroid,2,23416,280,84322,4830,73340,15,100988,57,40082,453,7553,28,208901,878,266898,8834,126783,16,87883,49,29886,338,7851
shaypal5/cachier,1,855,98,33187,1766,22559,3,34856,8,2524,16,177,0,0,0,0,0,0,0,0,0,0,0,0
http-apis/hydrus,9,28106,595,199911,16295,217155,8,330388,127,158583,788,18649,40,385455,1178,448177,17774,241403,7,80654,26,17932,117,1832
cpcloud/numbsql,0,0,318,137760,10208,111150,2,152169,22,14409,98,997,1,27538,299,141597,5092,113901,1,133483,9,19424,34,1325
jswhit/pygrib,1,9310,257,143109,4031,105077,1,133985,1,186,1,45,1,124,3,124,3,33,0,0,0,0,0,0
python-gitlab/python-gitlab,0,0,44,5116,403,5707,2,9244,8,4128,28,392,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
svenkreiss/html5validator,0,0,17,5533,345,4599,1,5923,1,390,2,19,0,0,0,0,0,0,0,0,0,0,0,0
marketsquare/robotframework-requests,0,0,224,45028,4459,32838,2,56317,27,11289,98,1699,2,4727,46,24397,608,17203,2,22552,9,2882,38,787
hvac/hvac,0,0,18,5277,448,6667,2,11098,13,5821,50,940,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
keleshev/schema,0,0,0,0,69,518,1,798,1,798,2,32,0,0,0,0,0,0,0,0,0,0,0,0
bitcraze/crazyflie-lib-python,0,0,459,248149,6793,190342,3,263004,18,14855,69,3009,2,1512,211,81793,3685,85774,1,135033,40,54752,276,12894
bitcraze/crazyflie-clients-python,0,0,585,106428,8330,100627,10,164358,137,57930,703,11817,5,8703,704,336924,10638,277173,4,398037,58,69816,354,16432
metomi/rose,3,20346,172,58540,2570,38157,3,44921,11,6727,34,587,6,27802,309,179898,10170,149690,2,197293,21,45197,81,2510
pnx-si/taxhub,3,9833,300,67388,3971,56331,10,75631,35,18076,93,2341,30,143087,1095,380345,23591,318439,11,336182,99,98924,472,11570
apragacz/django-rest-registration,0,0,858,130128,9187,109609,2,165135,83,35007,285,4590,3,9569,36,10541,520,5522,1,1737,2,765,6,86
locustio/locust,2,2794,325,59499,5199,55601,8,97880,66,41175,388,7866,12,55208,241,98026,5312,75393,7,64667,30,21849,108,2353
thombashi/tcconfig,0,0,304,68417,3912,53961,9,92048,49,23631,227,4612,6,19083,188,83594,1889,34479,8,77706,55,13195,218,3867
thombashi/datetimerange,0,0,16,5404,269,4782,1,7616,2,2212,34,1118,4,48948,70,48948,521,6860,1,998,1,998,1,2
revoltek/losoto,1,78783,914,454839,19264,396732,7,554956,140,178900,876,34285,8,130741,451,165400,7126,107584,6,45303,12,10644,127,3464
nandaka/pixivutil2,0,0,136,38840,2285,36607,8,61511,27,22671,237,5832,6,25348,138,57874,2408,40193,4,41231,23,8705,121,2639
mkaz/termgraph,0,0,2,109,55,387,1,882,4,773,13,177,0,0,0,0,0,0,0,0,0,0,0,0
hhursev/recipe-scrapers,0,0,15,3465,315,4304,2,8123,8,4658,52,1653,10,85249,321,111953,4738,74842,6,40873,26,14169,159,3446
jsvine/pdfplumber,0,0,115,40184,2121,38517,3,68985,31,28801,207,3375,4,41362,117,41362,2614,27101,0,0,0,0,0,0
mikf/gallery-dl,0,0,8,721,217,3494,1,5435,10,4714,19,430,2,4727,47,24598,612,17591,2,22552,8,2681,34,672
pyupio/safety,1,27538,147,54029,3383,47849,6,45121,34,18630,149,2974,2,4727,33,20468,737,18100,3,23108,5,7367,57,934
sourmash-bio/sourmash,1,8157,832,455525,14216,338460,7,523482,59,76114,333,15856,10,175376,472,180022,7777,113979,3,6744,6,2098,20,244
geotab/mygeotab-python,0,0,67,20748,2087,26463,5,48483,28,27735,108,2578,6,6188,90,32144,1357,28953,6,37824,15,11868,59,1755
r4fek/django-cassandra-engine,0,0,835,126620,10215,115977,2,182717,98,56097,514,8489,4,18886,68,25391,1382,18188,3,8658,4,2153,11,119
koalalorenzo/python-digitalocean,0,0,20,3246,327,4629,2,9125,12,5879,126,2139,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
hugapi/hug,0,0,81,8443,651,10163,2,18908,19,10465,36,984,3,16103,53,26116,643,18184,1,11176,2,1163,3,77
gocardless/gocardless-pro-python,1,998,12,3118,281,3991,1,5435,7,3315,16,296,4,24539,130,34552,1415,22726,1,11176,2,1163,3,77
pallets/werkzeug,0,0,0,0,32,187,1,367,2,367,3,114,0,0,40,16405,1028,14120,1,22870,12,6465,42,970
pallets/flask-sqlalchemy,0,0,190,102335,9923,136925,2,235290,84,132955,626,16010,10,53796,130,53796,2873,38353,1,3072,1,3072,2,44
pallets/flask,0,0,72,20839,2368,30235,6,50820,42,29981,191,4495,2,9205,24,9205,427,6737,1,367,2,367,3,114
pkkid/python-plexapi,0,0,11,2120,223,3664,1,5435,7,3315,13,260,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
cytomine/cytomine-python-client,1,587,621,183540,7434,153752,7,222479,37,39526,133,2668,4,17411,68,29544,923,22555,2,16611,9,4478,20,386
chainer/chainer,3,20773,306,116577,5816,111623,3,162521,57,66717,399,17802,0,0,0,0,0,0,0,0,0,0,0,0
barronh/pseudonetcdf,2,6910,922,438622,17674,419487,4,677093,181,245381,1636,59451,10,129030,484,166210,7212,103095,6,45090,10,7910,35,1092
python-social-auth/social-core,2,12913,204,35729,2543,31944,5,39235,34,16419,169,3366,4,23847,79,43517,1805,31302,2,22552,9,2882,38,787
savoirfairelinux/num2words,1,1070,19,1070,43,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
girder/large_image,1,26638,331,134788,4887,113068,3,166019,48,57869,231,8347,0,0,0,0,0,0,0,0,0,0,0,0
districtdatalabs/yellowbrick,0,0,710,356106,11867,312344,3,555495,159,199389,1288,49845,8,130514,666,232683,10972,187499,6,189409,72,87240,573,27813
jrxfive/python-nomad,0,0,12,2277,225,3722,1,5435,6,3158,11,202,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
pulse2percept/pulse2percept,0,0,619,276599,9867,267436,2,390953,77,114354,469,20613,0,0,0,0,0,0,0,0,0,0,0,0
konstantinstadler/pymrio,4,357005,1271,545469,13425,219085,4,334672,120,146208,1097,35019,14,147187,727,272682,11245,207542,5,186429,48,60934,287,12689
adrn/gala,1,78783,1144,496940,21146,454588,3,593554,146,175397,931,37658,1,4063,30,8135,784,26068,2,27827,7,23755,18,634
unioslo/zabbix-cli,1,5435,18,5435,236,3924,0,0,0,0,0,0,4,27363,55,27363,647,18344,0,0,0,0,0,0
py-bson/bson,0,0,16,5348,301,5880,1,7616,2,2268,3,65,0,0,0,0,58,302,1,998,1,998,3,16
tableau/document-api-python,0,0,27,6765,327,4402,1,7110,1,345,5,89,0,0,0,0,0,0,0,0,0,0,0,0
tableau/tabpy,7,247009,2286,968951,41645,804751,13,949342,171,227400,1447,48033,29,124912,517,183373,9114,125208,6,65494,16,7033,87,1311
tableau/server-client-python,0,0,38,8635,482,7060,3,10548,5,1913,14,242,4,29419,151,40969,1798,27296,1,11652,1,102,1,5
python-xlib/python-xlib,0,0,0,0,58,357,1,998,1,998,3,6,0,0,0,0,0,0,0,0,0,0,0,0
galkan/crowbar,0,0,25,8664,723,11614,1,19264,20,10600,150,2912,3,25551,123,38220,2628,28392,2,17807,14,5138,46,697
typemytype/booleanoperations,1,11,286,109055,4576,65437,1,111639,5,2595,20,330,0,0,0,0,0,0,0,0,0,0,0,0
maurosoria/dirsearch,5,66495,218,105231,4084,58259,8,62011,35,23275,192,4281,7,43761,99,43764,2127,29052,1,279,1,276,1,16
geodesign/django-raster,0,0,1281,278285,16751,252459,7,373363,128,95078,492,10342,17,120991,490,156518,8831,105243,3,43969,14,8442,80,1159
23andme/yamale,0,0,17,5533,346,4607,1,5923,1,390,1,11,0,0,0,0,0,0,0,0,0,0,0,0
conan-io/conan-package-tools,0,0,168,25168,2000,20813,3,34414,27,9246,171,3035,10,161169,486,178486,3743,61963,5,27239,22,9922,75,1454
conan-io/conan,0,0,64,17518,1739,25298,8,38305,36,20787,168,3041,5,17468,62,27793,792,18814,1,11652,3,1327,4,82
nitmir/django-cas-server,1,998,805,110636,8910,107114,3,160835,105,51197,372,6479,5,23036,84,34052,1093,22806,3,13141,5,2125,10,204
yunojuno/django-request-token,0,0,811,114709,8315,98775,2,151403,70,36694,322,5569,2,6933,30,7905,439,4571,1,1737,2,765,6,86
cowrie/cowrie,0,0,295,61359,8869,95862,1,165744,138,104385,766,11707,14,93614,536,173534,8615,114899,15,108635,51,28715,276,5116
certtools/intelmq,1,14545,243,69146,4711,64409,5,77975,28,23374,211,4219,3,4974,113,50813,2036,36040,4,51088,12,5249,70,1261
dj-stripe/dj-stripe,0,0,870,97857,8421,97561,2,159105,144,61248,635,11284,7,39647,103,40619,1321,26315,1,1737,2,765,6,86
rdiff-backup/rdiff-backup,0,0,12,3607,337,4442,1,5923,6,2316,10,176,0,0,0,0,0,0,0,0,0,0,0,0
axelrod-python/axelrod,2,5532,900,439474,17893,411758,6,640093,162,206151,1470,46578,14,144379,716,256398,11634,198271,5,181176,60,69157,383,17488
pywbem/pywbem,1,182,99,32822,2079,28039,7,47123,26,14483,213,4810,3,7799,53,26840,819,19183,2,23028,10,3987,44,837
lovesegfault/beautysh,1,882,6,882,68,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leancloud/python-sdk,1,363,273,54636,5070,51532,6,98146,60,43873,283,5954,5,14058,174,65951,3079,48086,6,62685,22,10792,115,2351
sh4nks/flask-caching,0,0,22,8116,418,6891,2,9963,8,1847,25,378,6,14498,115,48848,2627,35013,2,37103,3,2753,7,128
scikit-learn-contrib/metric-learn,0,0,771,343556,12190,340104,3,564488,179,220932,1558,65872,1,1071,42,12335,726,10353,1,15293,6,4029,22,496
scikit-learn-contrib/category_encoders,0,0,937,453895,12958,356142,3,525819,58,71924,387,17405,6,33449,752,334771,13112,316324,5,434493,101,133171,989,33781
scikit-learn-contrib/imbalanced-learn,0,0,759,335359,12171,340747,3,564488,191,229129,1582,65376,1,1071,42,12335,726,10206,1,15293,6,4029,22,496
arista-eosplus/pyeapi,0,0,15,3924,356,4370,1,6773,5,2849,17,565,0,0,0,0,0,0,0,0,0,0,0,0
abhishek-ram/pyas2-lib,0,0,60,17124,1071,25513,3,51297,43,34173,245,9312,2,19120,112,37199,2539,25120,1,18391,2,312,10,113
r0x0r/pywebview,0,0,0,0,159,1657,1,3072,1,3072,3,30,0,0,0,0,0,0,0,0,0,0,0,0
gtaylor/python-colormath,0,0,485,191326,5772,182211,2,235805,28,44479,117,5052,1,13144,47,13144,721,9228,0,0,0,0,0,0
obsrvbl/flowlogs-reader,0,0,33,6813,370,6109,2,9180,10,2367,38,724,4,22108,192,64114,4099,50779,4,55200,15,13194,188,3739
openml/openml-python,0,0,473,236574,9579,242556,8,372476,110,135902,1056,33628,3,5785,759,346647,11395,297370,8,432562,69,91700,397,16948
pynamodb/pynamodb,0,0,61,27547,1962,23594,1,34442,11,6895,69,930,4,21934,66,21934,1006,14795,0,0,0,0,0,0
jpmens/mqttwarn,2,6309,282,41847,3131,38623,5,63521,44,27983,312,5718,3,5094,48,24764,642,17666,2,22552,9,2882,38,787
brack3t/django-braces,0,0,825,130344,8405,100802,1,149210,44,18866,119,2084,2,6933,30,7905,439,4666,1,1737,2,765,6,86
colinoflynn/pico-python,0,0,227,119869,3672,96196,1,133991,11,14122,28,1044,0,0,0,0,0,0,0,0,0,0,0,0
airbnb/knowledge-repo,2,2563,783,268782,12534,166649,17,339175,129,72956,660,18251,36,294652,1871,582215,30609,417673,30,450024,197,162461,1095,23232
threat9/routersploit,0,0,427,95327,5500,73902,4,122898,47,27571,204,3852,9,115604,398,137157,6757,91543,3,28983,18,7430,58,979
kislyuk/watchtower,0,0,32,6750,344,5826,1,8175,5,1425,10,253,5,29724,146,59067,3475,44328,1,34442,8,5099,61,759
juniper/py-junos-eznc,2,6891,195,45284,4035,53757,10,80863,59,42470,403,7471,6,43725,203,69456,4052,47175,1,27538,4,1807,36,529
juniper/jsnapy,2,25635,348,71954,3432,48075,5,50500,8,4181,70,1134,13,92302,408,132929,7610,95860,4,48692,14,8065,68,1167
pyscaffold/pyscaffold,0,0,86,29934,2028,24108,5,40361,25,10427,201,3234,3,6702,28,6702,355,4235,0,0,0,0,0,0
nci-gdc/gdcdictionary,0,0,31,7101,740,8701,2,12200,11,5099,23,289,13,73293,193,73293,2995,49484,0,0,0,0,0,0
sendgrid/sendgrid-python,0,0,8,356,50,383,1,911,9,555,26,178,0,0,2,120,21,246,1,416,1,296,1,29
pythonot/pot,0,0,637,320254,9960,269735,2,390953,59,70699,372,17895,0,0,0,0,0,0,0,0,0,0,0,0
seisman/hinetpy,0,0,7,580,155,2088,1,5435,11,4855,83,1840,3,7625,51,27295,659,19498,2,22552,9,2882,38,787
biosustain/cameo,2,32885,1321,531783,17092,433227,15,607820,125,108922,713,26643,95,755654,3760,1429677,64101,970863,15,924094,85,250071,446,8246
sentinelsat/sentinelsat,0,0,53,11076,929,14438,6,24976,37,13900,191,3919,2,4727,46,24397,668,17835,3,23550,10,3880,39,789
mar10/wsgidav,0,0,54,17740,1358,16139,4,22940,8,5200,38,532,1,367,2,367,34,212,0,0,0,0,0,0
gmplot/gmplot,0,0,11,2120,223,3664,1,5435,7,3315,13,260,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
s3tools/s3cmd,0,0,16,3785,302,5187,2,8422,5,4637,51,1199,0,0,0,0,60,316,1,998,1,998,1,2
codecov/codecov-python,1,14037,50,16157,856,13958,1,5435,7,3315,14,274,4,17441,56,27454,658,19337,1,11176,2,1163,3,77
halfak/deltas,1,157,8,157,7,106,0,0,0,0,0,0,1,5960,18,5960,348,4644,0,0,0,0,0,0
codalab/codalab-worksheets,10,233146,2310,834409,35290,564334,20,722897,151,121634,732,15620,50,548717,1615,570952,24228,367980,7,39259,29,17024,141,2865
lxc/pylxd,0,0,129,26326,1921,20307,5,34886,17,8560,140,3007,4,23847,78,43083,1864,31651,3,23550,11,4314,40,799
nfcpy/nfcpy,0,0,31,10200,765,8270,3,15138,10,4938,45,914,0,0,0,0,0,0,0,0,0,0,0,0
xattr/xattr,0,0,6,1536,410,3798,1,8157,10,6621,147,2519,0,0,14,8340,637,7358,1,10963,3,2623,3,153
christiansandberg/canopen,0,0,82,23688,758,14801,1,25735,6,2047,15,504,4,10358,91,37654,1977,25238,1,27538,1,242,3,21
mbj4668/pyang,0,0,28,7110,332,4491,1,7110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
booya-at/openglider,0,0,1048,429222,18601,364202,8,545493,109,116271,586,19130,7,50799,254,72276,4390,40902,3,27484,20,6007,117,1620
clinical-genomics/scout,0,0,9,1196,302,5053,1,8791,13,7595,52,1412,3,17202,107,40040,4025,42382,6,50125,38,27287,170,3738
psy0rz/zfs_autobackup,0,0,5,780,149,1494,2,3274,2,2494,47,960,1,2781,14,2781,141,2358,0,0,0,0,0,0
google/openhtf,6,46196,169,52862,2587,39911,4,12690,11,6024,26,570,13,108092,351,108092,4278,54873,0,0,0,0,0,0
google/apitools,0,0,31,4209,453,7012,3,12569,18,8360,79,1551,1,10913,183,43518,1288,15838,4,39488,8,6883,41,712
google/mobly,0,0,12,3607,339,4457,2,6259,7,2652,18,395,1,10181,10,10181,544,6829,0,0,0,0,0,0
diyan/pywinrm,1,998,8,1578,233,2888,2,5979,12,5399,82,1859,5,37416,181,73299,3589,50593,4,40470,13,4587,44,819
danirus/django-comments-xtd,1,43097,944,153085,11339,130507,3,166133,122,56145,465,7349,2,6933,33,8276,509,5270,2,4373,5,3030,17,337
sage-bionetworks/synapsepythonclient,1,1682,20,2277,274,3460,2,6004,13,5409,85,1992,10,48282,195,68697,3905,47725,3,24943,11,4528,49,949
galvant/instrumentkit,1,3072,95,37256,1841,26289,5,42462,10,8278,50,1122,4,196694,550,196694,6719,135906,1,838,1,838,1,2
manolomartinez/greg,0,0,25,3699,273,2286,1,5823,7,2124,14,716,1,570,2,570,43,414,0,0,0,0,0,0
planetlabs/planet-client-python,2,3846,76,18368,1414,17820,5,30255,38,15733,300,5442,5,8103,96,26659,1419,23410,6,30063,33,11507,182,3142
brian-team/brian2genn,0,0,82,26794,1428,26541,2,50905,39,24111,162,4652,4,131072,1278,721734,24733,429385,5,640218,34,49556,136,3931
nrel/rdtools,0,0,2847,1104545,31593,914562,8,1369813,157,265268,1352,62612,18,190104,1276,555087,19363,416710,6,436284,61,71301,398,18054
nrel/hescore-hpxml,0,0,45,8994,722,8372,2,13318,7,4324,24,460,4,7311,335,76261,4042,50720,3,73301,5,4351,7,126
noripyt/django-cachalot,0,0,723,86855,8058,94230,1,148290,140,61435,605,10844,2,6933,30,7905,439,4252,1,1737,2,765,6,86
pyamg/pyamg,0,0,635,320318,9988,272637,2,390953,61,70635,349,15070,0,0,0,0,0,0,0,0,0,0,0,0
openstenoproject/plover,1,608,142,49939,2352,28731,3,57282,20,7951,86,1838,0,0,0,0,59,274,1,998,1,998,2,4
jopohl/urh,0,0,307,109745,8529,150095,4,227654,94,117909,920,18017,0,0,0,0,0,0,0,0,0,0,0,0
sfstoolbox/sfs-python,0,0,629,294380,9860,268697,2,390959,67,96579,395,18130,0,0,0,0,0,0,0,0,0,0,0,0
docker/docker-py,0,0,29,4946,462,5717,3,11365,14,6419,94,2119,6,40961,205,78596,4559,64718,6,61291,51,23656,282,5230
wger-project/wger,1,2514,147,17087,1474,16648,6,23823,23,9250,77,1195,17,85319,1355,246827,16363,214063,12,256765,200,95257,967,17388
golemhq/golem,0,0,38,5770,673,10509,5,16970,27,11200,73,1747,20,93641,707,275149,15076,186962,9,208001,53,26493,200,3918
jantman/awslimitchecker,1,2636,40,9467,427,7034,2,8457,6,1626,12,236,5,31399,205,76524,4458,58575,4,54708,14,9583,99,1841
mixpanel/mixpanel-python,0,0,8,737,217,2496,2,6433,11,5696,80,1791,2,4811,46,24481,609,17557,2,22552,9,2882,38,787
mysociety/mapit,2,3500,841,122309,10179,121619,4,184661,150,65852,606,10489,4,141916,269,142888,4280,103118,1,1737,2,765,6,86
qutip/qutip,0,0,618,286265,9936,265242,3,395016,92,108751,592,25294,0,0,0,0,0,0,0,0,0,0,0,0
django-cas-ng/django-cas-ng,1,431,817,120612,8368,100313,1,149210,53,29029,181,3014,9,47755,132,48727,1714,31604,1,1737,2,765,6,86
